timestamp,utilizador,ip,sucesso
2026-01-26T13:05:39.171246Z,guest,192.168.1.27,true
2026-01-26T13:11:22.171246Z,madu,192.168.1.44,false
2026-01-26T13:14:23.171246Z,guest,192.168.1.15,true
2026-01-26T13:16:58.171246Z,tiago,192.168.1.22,false
2026-01-26T13:36:24.171246Z,carla,192.168.1.24,false
2026-01-26T13:39:12.171246Z,tiago,192.168.1.20,false
2026-01-26T13:49:21.171246Z,rui,192.168.1.23,true
2026-01-26T14:03:27.171246Z,rui,192.168.1.32,false
2026-01-26T14:07:13.171246Z,bruno,192.168.1.39,true
2026-01-26T14:21:18.171246Z,ana,192.168.1.45,false
2026-01-26T14:34:54.171246Z,tiago,192.168.1.22,true
2026-01-26T14:44:43.171246Z,madu,192.168.1.28,false
2026-01-26T14:50:07.171246Z,carla,192.168.1.27,false
2026-01-26T15:03:17.171246Z,rui,192.168.1.33,true
2026-01-26T15:14:01.171246Z,sofia,192.168.1.14,false
2026-01-26T15:33:47.171246Z,duda,192.168.1.25,true
2026-01-26T15:44:46.171246Z,guest,192.168.1.45,false
2026-01-26T15:48:00.171246Z,rui,192.168.1.12,false
2026-01-26T15:52:13.171246Z,tiago,192.168.1.46,false
2026-01-26T16:09:38.171246Z,duda,192.168.1.39,true
2026-01-26T16:19:25.171246Z,bruno,192.168.1.45,false
2026-01-26T16:39:52.171246Z,joao,192.168.1.47,false
2026-01-26T16:46:24.171246Z,madu,192.168.1.41,false
2026-01-26T16:51:33.171246Z,ines,192.168.1.20,false
2026-01-26T16:55:57.171246Z,sofia,192.168.1.34,false
2026-01-26T17:14:13.171246Z,admin,192.168.1.45,false
2026-01-26T17:19:56.171246Z,ana,192.168.1.44,false
2026-01-26T17:32:03.171246Z,joao,192.168.1.28,true
2026-01-26T17:34:49.171246Z,bruno,192.168.1.26,false
2026-01-26T17:53:47.171246Z,ines,192.168.1.16,false
2026-01-26T18:12:25.171246Z,duda,192.168.1.22,true
2026-01-26T18:19:59.171246Z,admin,192.168.1.43,false
2026-01-26T18:37:00.171246Z,rui,192.168.1.17,false
2026-01-26T18:48:15.171246Z,guest,192.168.1.13,false
2026-01-26T18:52:20.171246Z,madu,192.168.1.41,false
2026-01-26T19:12:09.171246Z,duda,192.168.1.18,false
2026-01-26T19:31:19.171246Z,bruno,192.168.1.26,false
2026-01-26T19:46:32.171246Z,tiago,192.168.1.44,false
2026-01-26T19:57:57.171246Z,carla,192.168.1.33,false
2026-01-26T20:14:04.171246Z,guest,192.168.1.25,true
2026-01-26T20:16:41.171246Z,guest,192.168.1.45,false
2026-01-26T20:18:45.171246Z,guest,192.168.1.13,true
2026-01-26T20:22:40.171246Z,madu,192.168.1.31,true
2026-01-26T20:33:22.171246Z,guest,192.168.1.41,true
2026-01-26T20:53:58.171246Z,guest,192.168.1.40,false
2026-01-26T21:09:10.171246Z,madu,192.168.1.16,false
2026-01-26T21:22:37.171246Z,carla,192.168.1.36,false
2026-01-26T21:26:20.171246Z,admin,192.168.1.16,true
2026-01-26T21:39:11.171246Z,guest,192.168.1.16,true
2026-01-26T21:58:39.171246Z,joao,192.168.1.18,true
2026-01-26T22:14:54.171246Z,carla,192.168.1.14,false
2026-01-26T22:34:00.171246Z,ines,192.168.1.13,false
2026-01-26T22:36:05.171246Z,duda,192.168.1.25,true
2026-01-26T22:53:18.171246Z,admin,192.168.1.35,true
2026-01-26T22:55:42.171246Z,carla,192.168.1.26,false
2026-01-26T23:15:24.171246Z,duda,192.168.1.41,true
2026-01-26T23:23:27.171246Z,tiago,192.168.1.47,false
2026-01-26T23:35:30.171246Z,sofia,192.168.1.13,false
2026-01-26T23:53:40.171246Z,bruno,192.168.1.13,true
2026-01-27T00:00:44.171246Z,madu,192.168.1.48,false
2026-01-27T00:10:09.171246Z,sofia,192.168.1.17,true
2026-01-27T00:13:48.171246Z,joao,192.168.1.15,false
2026-01-27T00:34:21.171246Z,ana,192.168.1.30,true
2026-01-27T00:46:36.171246Z,joao,192.168.1.26,true
2026-01-27T00:58:05.171246Z,madu,192.168.1.30,true
2026-01-27T01:18:11.171246Z,bruno,192.168.1.14,true
2026-01-27T01:28:19.171246Z,madu,192.168.1.32,false
2026-01-27T01:41:37.171246Z,carla,192.168.1.20,false
2026-01-27T01:53:16.171246Z,admin,192.168.1.43,false
2026-01-27T02:12:35.171246Z,duda,192.168.1.16,true
2026-01-27T02:18:22.171246Z,duda,192.168.1.45,true
2026-01-27T02:27:07.171246Z,guest,192.168.1.31,false
2026-01-27T02:37:39.171246Z,ana,192.168.1.41,false
2026-01-27T02:40:44.171246Z,ana,192.168.1.37,true
2026-01-27T02:53:33.171246Z,ines,192.168.1.18,false
2026-01-27T03:01:20.171246Z,bruno,192.168.1.38,false
2026-01-27T03:20:20.171246Z,madu,192.168.1.17,false
2026-01-27T03:26:54.171246Z,rui,192.168.1.12,false
2026-01-27T03:33:21.171246Z,admin,192.168.1.18,true
2026-01-27T03:37:18.171246Z,guest,192.168.1.32,false
2026-01-27T03:42:40.171246Z,joao,192.168.1.45,false
2026-01-27T03:49:39.171246Z,duda,192.168.1.25,false
2026-01-27T03:57:35.171246Z,admin,192.168.1.36,true
2026-01-27T04:10:25.171246Z,ines,192.168.1.36,false
2026-01-27T04:19:42.171246Z,tiago,192.168.1.20,true
2026-01-27T04:23:36.171246Z,guest,192.168.1.40,true
2026-01-27T04:39:58.171246Z,guest,192.168.1.29,true
2026-01-27T04:48:23.171246Z,ana,192.168.1.31,false
2026-01-27T04:58:45.171246Z,joao,192.168.1.42,false
2026-01-27T05:18:06.171246Z,madu,192.168.1.11,false
2026-01-27T05:28:17.171246Z,ana,192.168.1.47,true
2026-01-27T05:43:39.171246Z,joao,192.168.1.30,false
2026-01-27T06:01:46.171246Z,sofia,192.168.1.34,true
2026-01-27T06:05:31.171246Z,admin,192.168.1.37,true
2026-01-27T06:25:14.171246Z,rui,192.168.1.22,false
2026-01-27T06:37:53.171246Z,ines,192.168.1.30,false
2026-01-27T06:49:25.171246Z,ines,192.168.1.29,false
2026-01-27T07:04:09.171246Z,bruno,192.168.1.28,true
2026-01-27T07:19:51.171246Z,ines,192.168.1.34,false
2026-01-27T07:27:30.171246Z,ana,192.168.1.46,false
2026-01-27T07:29:49.171246Z,guest,192.168.1.28,true
2026-01-27T07:50:27.171246Z,carla,192.168.1.30,false
2026-01-27T07:58:59.171246Z,tiago,192.168.1.40,true
2026-01-27T08:03:17.171246Z,ines,192.168.1.42,false
2026-01-27T08:15:22.171246Z,ines,192.168.1.25,false
2026-01-27T08:23:31.171246Z,admin,192.168.1.11,true
2026-01-27T08:41:10.171246Z,carla,192.168.1.14,false
2026-01-27T09:01:22.171246Z,carla,192.168.1.34,false
2026-01-27T09:08:03.171246Z,madu,192.168.1.10,false
2026-01-27T09:17:14.171246Z,carla,192.168.1.43,true
2026-01-27T09:27:12.171246Z,carla,192.168.1.17,true
2026-01-27T09:43:54.171246Z,bruno,192.168.1.43,false
2026-01-27T10:00:33.171246Z,joao,192.168.1.42,false
2026-01-27T10:20:01.171246Z,tiago,192.168.1.20,false
2026-01-27T10:36:17.171246Z,ines,192.168.1.25,false
2026-01-27T10:54:48.171246Z,ana,192.168.1.25,false
2026-01-27T11:06:03.171246Z,rui,192.168.1.27,false
2026-01-27T11:25:08.171246Z,duda,192.168.1.18,true
2026-01-27T11:31:53.171246Z,madu,192.168.1.23,true
2026-01-27T11:44:27.171246Z,joao,192.168.1.39,true
2026-01-27T11:59:51.171246Z,tiago,192.168.1.47,true
2026-01-27T12:20:15.171246Z,admin,192.168.1.40,false
2026-01-27T12:32:03.171246Z,joao,192.168.1.34,false
2026-01-27T12:51:54.171246Z,guest,192.168.1.48,true
